成分A,成分B,相互作用レベル,説明,出典,pmda_updated_at,interaction_id
ARB,エコナゾール硝酸塩,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エコナゾール硝酸塩,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
エコナゾール硝酸塩,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エコナゾール硝酸塩,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エコナゾール硝酸塩,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エコナゾール硝酸塩,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
インスリン,エコナゾール硝酸塩,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,エコナゾール硝酸塩,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,エコナゾール硝酸塩,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
エコナゾール硝酸塩,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エコナゾール硝酸塩,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エコナゾール硝酸塩,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エコナゾール硝酸塩,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エコナゾール硝酸塩,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エコナゾール硝酸塩,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エストラジオール,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エストラジオール,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
エストラジオール,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,エストラジオール,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,エストラジオール,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,エストラジオール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エストラジオール,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
エストラジオール,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エストラジオール,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エストラジオール,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エストラジオール,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
インスリン,エストラジオール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,エストラジオール,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,エストラジオール,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
エストラジオール,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エストラジオール,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エストラジオール,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エストラジオール,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エストラジオール,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エストラジオール,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギ,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギ,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
エゾウコギ,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,エゾウコギ,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,エゾウコギ,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,エゾウコギ,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギ,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
エゾウコギ,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギ,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギ,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギ,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
インスリン,エゾウコギ,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,エゾウコギ,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,エゾウコギ,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
エゾウコギ,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギ,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギ,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギ,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギ,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギ,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギエキス−S,ワーファリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギエキス−S,リチウム,中,リチウム中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
エゾウコギエキス−S,メトトレキサート,高,メトトレキサート中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
アスピリン,エゾウコギエキス−S,高,出血リスク増加・胃腸障害の悪化,PMDA catalog pair expansion (review recommended),,
ACE阻害薬,エゾウコギエキス−S,中,腎機能障害のリスク増加,PMDA catalog pair expansion (review recommended),,
ARB,エゾウコギエキス−S,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギエキス−S,テオフィリン,中,テオフィリン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
エゾウコギエキス−S,シクロスポリン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギエキス−S,フェニトイン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギエキス−S,カルバマゼピン,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギエキス−S,ジゴキシン,中,ジゴキシン中毒のリスク増加,PMDA catalog pair expansion (review recommended),,
インスリン,エゾウコギエキス−S,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
SSRI,エゾウコギエキス−S,高,セロトニン症候群のリスク増加,PMDA catalog pair expansion (review recommended),,
MAO阻害薬,エゾウコギエキス−S,高,重篤な血圧上昇・不整脈のリスク,PMDA catalog pair expansion (review recommended),,
エゾウコギエキス−S,ベンゾジアゼピン系,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギエキス−S,降圧薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギエキス−S,クマリン系抗凝血薬,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギエキス−S,タクロリムス,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギエキス−S,シクロホスファミド,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
エゾウコギエキス−S,フルコナゾール,高,出血リスクの大幅増加,PMDA catalog pair expansion (review recommended),,
ロキソプロフェン,ワーファリン,高,ること。副作用があらわれやすい。 10. 相互作用 10.2 併用注意(併用に注意すること) 薬剤名等 臨床症状・措置方法 機序・危険因子 クマリン系抗凝血剤 ワルファリン 抗凝血作用を増強するおそれがあるので注意し、必要があれば減量すること。 本剤のプロスタグランジン生合成抑制作用により血小板凝集が抑制され血液凝固能が低下し、抗凝血作用に相加されるためと考えられている。 第Xa因子阻害剤 エドキサバントシル酸塩水和物等 出血の危険性を増大させるおそれがある。 抗血栓作用を増,PMDA PackinsSearch,2026-07-24,
ロキソプロフェンナトリウム水和物,ワーファリン,高,ワーファリン等の抗凝血剤との併用により出血傾向を増強することがある。抗凝血剤の用量調節等、慎重に投与すること(添付文書 10.相互作用 併用注意)。,PMDA PackinsSearch,2026-07-24,
